HEA	Pt	Ru	Pd	Rh	Au	Onset
1	8.5	27.8	35.6	5.6	22.5	0.538726
1	16.7	22.4	35.2	9.5	16.1	0.538726
1	18.0	21.6	32.1	9.8	18.5	0.538726
1	19.5	18.5	28.0	12.2	21.8	0.538726
1	8.5	27.8	35.6	5.6	22.5	0.5047550000000001
1	16.7	22.4	35.2	9.5	16.1	0.5047550000000001
1	18.0	21.6	32.1	9.8	18.5	0.5047550000000001
1	19.5	18.5	28.0	12.2	21.8	0.5047550000000001
1	8.5	27.8	35.6	5.6	22.5	0.497749
1	16.7	22.4	35.2	9.5	16.1	0.497749
1	18.0	21.6	32.1	9.8	18.5	0.497749
1	19.5	18.5	28.0	12.2	21.8	0.497749
2	23.0	35.2	23.0	12.4	6.3	0.495734
2	26.2	35.0	13.2	19.2	6.5	0.495734
2	23.9	31.3	17.6	19.4	7.9	0.495734
2	26.8	34.3	15.3	16.7	6.9	0.495734
2	23.0	35.2	23.0	12.4	6.3	0.49778500000000003
2	26.2	35.0	13.2	19.2	6.5	0.49778500000000003
2	23.9	31.3	17.6	19.4	7.9	0.49778500000000003
2	26.8	34.3	15.3	16.7	6.9	0.49778500000000003
2	23.0	35.2	23.0	12.4	6.3	0.505694
2	26.2	35.0	13.2	19.2	6.5	0.505694
2	23.9	31.3	17.6	19.4	7.9	0.505694
2	26.8	34.3	15.3	16.7	6.9	0.505694
3	23.5	27.1	21.9	14.0	13.6	0.54967
3	19.3	31.9	28.7	9.0	11.0	0.54967
3	20.5	26.0	28.0	13.0	12.6	0.54967
3	19.3	28.8	25.8	15.1	11.1	0.54967
3	23.5	27.1	21.9	14.0	13.6	0.5177039999999999
3	19.3	31.9	28.7	9.0	11.0	0.5177039999999999
3	20.5	26.0	28.0	13.0	12.6	0.5177039999999999
3	19.3	28.8	25.8	15.1	11.1	0.5177039999999999
3	23.5	27.1	21.9	14.0	13.6	0.536726
3	19.3	31.9	28.7	9.0	11.0	0.536726
3	20.5	26.0	28.0	13.0	12.6	0.536726
3	19.3	28.8	25.8	15.1	11.1	0.536726
4	22.6	6.3	42.5	1.8	26.8	0.5466850000000001
4	31.9	3.1	26.8	2.0	36.3	0.5466850000000001
4	27.0	5.0	36.1	1.9	29.9	0.5466850000000001
4	26.2	5.7	42.5	0.0	25.6	0.5466850000000001
4	22.6	6.3	42.5	1.8	26.8	0.548694
4	31.9	3.1	26.8	2.0	36.3	0.548694
4	27.0	5.0	36.1	1.9	29.9	0.548694
4	26.2	5.7	42.5	0.0	25.6	0.548694
4	22.6	6.3	42.5	1.8	26.8	0.559684
4	31.9	3.1	26.8	2.0	36.3	0.559684
4	27.0	5.0	36.1	1.9	29.9	0.559684
4	26.2	5.7	42.5	0.0	25.6	0.559684
5	17.7	42.2	17.8	0.0	22.2	0.511749
5	15.1	44.5	20.0	0.0	20.5	0.511749
5	14.4	43.3	24.0	0.0	18.3	0.511749
5	15.2	41.5	22.1	0.0	21.2	0.511749
5	17.7	42.2	17.8	0.0	22.2	0.492729
5	15.1	44.5	20.0	0.0	20.5	0.492729
5	14.4	43.3	24.0	0.0	18.3	0.492729
5	15.2	41.5	22.1	0.0	21.2	0.492729
5	17.7	42.2	17.8	0.0	22.2	0.47375600000000007
5	15.1	44.5	20.0	0.0	20.5	0.47375600000000007
5	14.4	43.3	24.0	0.0	18.3	0.47375600000000007
5	15.2	41.5	22.1	0.0	21.2	0.47375600000000007
6	54.0	16.9	22.1	0.0	6.9	0.493709
6	50.1	16.8	22.9	1.9	8.2	0.493709
6	50.2	17.2	24.6	0.8	7.2	0.493709
6	53.6	15.4	23.9	0.0	7.2	0.493709
6	54.0	16.9	22.1	0.0	6.9	0.49269799999999997
6	50.1	16.8	22.9	1.9	8.2	0.49269799999999997
6	50.2	17.2	24.6	0.8	7.2	0.49269799999999997
6	53.6	15.4	23.9	0.0	7.2	0.49269799999999997
6	54.0	16.9	22.1	0.0	6.9	0.49271099999999995
6	50.1	16.8	22.9	1.9	8.2	0.49271099999999995
6	50.2	17.2	24.6	0.8	7.2	0.49271099999999995
6	53.6	15.4	23.9	0.0	7.2	0.49271099999999995
7	25.2	45.7	15.2	9.4	4.4	0.49098
7	22.0	47.8	16.8	7.7	5.7	0.49098
7	24.1	44.1	15.8	10.4	5.5	0.49098
7	23.7	46.4	17.8	7.4	4.7	0.49098
7	25.2	45.7	15.2	9.4	4.4	0.462979
7	22.0	47.8	16.8	7.7	5.7	0.462979
7	24.1	44.1	15.8	10.4	5.5	0.462979
7	23.7	46.4	17.8	7.4	4.7	0.462979
7	25.2	45.7	15.2	9.4	4.4	0.485943
7	22.0	47.8	16.8	7.7	5.7	0.485943
7	24.1	44.1	15.8	10.4	5.5	0.485943
