HEA	Pt	Ru	Pd	Rh	Au	Onset	
1	20	20	20	20	20	0.538726	
1	20	20	20	20	20	0.504755	
1	20	20	20	20	20	0.497749	
2	29	29	7	29	7	0.495734	
2	29	29	7	29	7	0.497785	
2	29	29	7	29	7	0.505694	
3	25	25	13	25	13	0.54967	
3	25	25	13	25	13	0.517704	
3	25	25	13	25	13	0.536726	
4	29	7	29	7	29	0.546685	
4	29	7	29	7	29	0.548694	
4	29	7	29	7	29	0.559684	
5	21	42	11	5	21	0.511749	
5	21	42	11	5	21	0.492729	
5	21	42	11	5	21	0.473756	
6	50	17	17	8	8	0.493709	
6	50	17	17	8	8	0.492698	
6	50	17	17	8	8	0.492711	
7	26	42	11	16	5	0.49098	
7	26	42	11	16	5	0.462979	
7	26	42	11	16	5	0.485943	
8	29	14	36	7	14	0.521015	
8	29	14	36	7	14	0.508974	
8	29	14	36	7	14	0.538024	
9	19	38	25	13	6	0.511951	
9	19	38	25	13	6	0.4889	
9	19	38	25	13	6	0.480963	
10	19	25	13	6	38	0.508686	
10	19	25	13	6	38	0.499722	
10	19	25	13	6	38	0.504718	
11	6	53	6	18	18	0.476732	
11	6	53	6	18	18	0.482747	
11	6	53	6	18	18	0.481733	
12	40	20	10	5	25	0.493715	
12	40	20	10	5	25	0.481715	
12	40	20	10	5	25	0.496698	
13	33	50	9	2	5	0.481709	
13	33	50	9	2	5	0.47271	
13	33	50	9	2	5	0.471719	
14	10	34	1	51	3	0.485664	
14	10	34	1	51	3	0.490682	
14	10	34	1	51	3	0.468678	
15	30	1	32	22	14	0.588674	
15	30	1	32	22	14	0.600639	
15	30	1	32	22	14	0.596646	
16	23	35	26	15	1	0.505708	
16	23	35	26	15	1	0.497704	
16	23	35	26	15	1	0.507664	
17	1	29	53	10	6	0.50465	
17	1	29	53	10	6	0.498689	
17	1	29	53	10	6	0.514708	
18	7	2	33	37	21	0.597628	
18	7	2	33	37	21	0.58165	
18	7	2	33	37	21	0.593583	
19	21	2	37	8	33	0.591649	
19	21	2	37	8	33	0.577689	
19	21	2	37	8	33	0.594609	
20	4	4	20	32	40	0.560679	
20	4	4	20	32	40	0.55969	
20	4	4	20	32	40	0.570634	
21	96	1	1	1	1	0.534961	
21	96	1	1	1	1	0.562701	
21	96	1	1	1	1	0.505684	
24	1	1	1	96	1	0.571632	
24	1	1	1	96	1	0.584669	
24	1	1	1	96	1	0.594615	
26	1	72	17	9	1	0.479707	
26	1	72	17	9	1	0.487621	
26	1	72	17	9	1	0.47897	
27	2	57	23	16	2	0.480701	
27	2	57	23	16	2	0.470711	
27	2	57	23	16	2	0.483692	
28	27	48	3	20	2	0.469674	
28	27	48	3	20	2	0.467683	
28	27	48	3	20	2	0.462739	
29	17	60	10	10	3	0.486648	
29	17	60	10	10	3	0.472729	
29	17	60	10	10	3	0.486664	
30	1	40	43	15	1	0.480717	
30	1	40	43	15	1	0.486662	
30	1	40	43	15	1	0.478739	
31	81	3	4	7	5	0.501	
31	81	3	4	7	5	0.548664	
31	81	3	4	7	5	0.544708	
32	7	76	1	12	4	0.469696	
32	7	76	1	12	4	0.466662	
32	7	76	1	12	4	0.471714	
33	79	16	3	1	1	0.475019	
33	79	16	3	1	1	0.461036	
33	79	16	3	1	1	0.460021	
34	81	12	5	1	1	0.494	
34	81	12	5	1	1	0.516996	
34	81	12	5	1	1	0.51198	
35	16	46	2	34	2	0.455995	
35	16	46	2	34	2	0.460036	
35	16	46	2	34	2	0.461025	
36	1	7	89	2	1	0.562979	
36	1	7	89	2	1	0.563	
36	1	7	89	2	1	0.562967	
37	17	29	43	1	10	0.502008	
37	17	29	43	1	10	0.470993	
37	17	29	43	1	10	0.496969	
38	37	37	1	3	22	0.48791	
38	37	37	1	3	22	0.484932	
38	37	37	1	3	22	0.480977	
44	5	58	3	33	1	0.463977	
44	5	58	3	33	1	0.470989	
44	5	58	3	33	1	0.471977	
40	4	43	14	38	1	0.477714	
