HEA	Pt-EDX	Ru-EDX	Pd-EDX	Rh-EDX	Au-EDX	Pt-Syn	Ru-Syn	Pd-Syn	Rh-Syn	Au-Syn	Average_Onset																		
1	15.675	22.575	32.725	9.275	19.725	20	20	20	20	20	0.513743333																		
2	24.975	33.95	17.275	16.925	6.9	29	29	7	29	7	0.499737667																		
3	20.65	28.45	26.1	12.775	12.075	25	25	13	25	13	0.5347																		
4	26.925	5.025	36.975	1.425	29.65	29	7	29	7	29	0.551687667																		
5	15.6	42.875	20.975	0	20.55	21	42	11	5	21	0.492744667																		
6	51.975	16.575	23.375	0.675	7.375	50	17	17	8	8	0.493039333																		
7	23.75	46	16.4	8.725	5.075	26	42	11	16	5	0.479967333																		
8	29.225	11.775	41.475	2.8	14.8	29	14	36	7	14	0.522671																		
9	17.125	37.15	37	3.3	5.425	19	38	25	13	6	0.493938																		
10	18.125	29.025	24.15	0.2	28.575	19	25	13	6	38	0.504375333																		
11	5.175	56.525	10.225	10.6	17.525	6	53	6	18	18	0.480404																		
12	34.75	24.025	18.5	0.975	21.775	40	20	10	5	25	0.490709333																		
13	21.625	55.975	17.45	0	4.95	33	50	9	2	5	0.475379333																		
14	10.15	44.375	3.275	39.625	2.575	10	34	1	51	3	0.481674667																		
15	25.375	0.45	44.875	16.675	12.6	30	1	32	22	14	0.595319667																		
16	18.875	36.5	41.425	2.875	0.35	23	35	26	15	1	0.503692																		
17	8.425	11.025	74.225	0.5	5.75	1	29	53	10	6	0.506015667																		
18	7.375	0	44.925	26.075	21.6	7	2	33	37	21	0.590953667																		
19	19.2	0	52	1.6	27.25	21	2	37	8	33	0.587982333																		
20	2.75	0.525	34.725	28.075	33.975	4	4	20	32	40	0.563667667																		
21	80.825	5.725	9.5	3.05	1.025	96	1	1	1	1	0.534448667																		
24	1.4	0	0	97.35	1.225	1	1	1	96	1	0.583638667																		
26	0.65	51.975	43.45	2.1	1.775	1	72	17	9	1	0.482099333																		
27	1.175	39.2	48	9.7	1.875	2	57	23	16	2	0.478368																		
28	19.75	45.325	7.95	24.875	2.125	27	48	3	20	2	0.466698667																		
29	16.25	45.55	33.35	1.7	3.15	17	60	10	10	3	0.482013667																		
30	0.9	19.4	72.825	5.75	1.15	1	40	43	15	1	0.482039333																		
31	61.075	6.85	19.3	4.825	7.975	81	3	4	7	5	0.531457333																		
32	4.625	70.8	3.675	13.65	7.025	7	76	1	12	4	0.469357333																		
33	62.05	25.525	12.325	0	0.125	79	16	3	1	1	0.465358667																		
34	71.925	9.4	18	0	0.7	81	12	5	1	1	0.507658667																		
35	12.275	43.45	4.375	37.9	2.05	16	46	2	34	2	0.459018667																		
36	0.375	0.8	98.125	0	0.675	1	7	89	2	1	0.562982																		
37	11.7	11.775	66.125	0	10.4	17	29	43	1	10	0.48999																		
38	17.7	44.225	10.625	0	27.425	37	37	1	3	22	0.484606333																		
44	5.175	66.85	3.025	23.8	1.1	5	58	3	33	1	0.468981																		
40	3.025	31.875	29.075	34.8	1.275	4	43	14	38	1	0.482046667																		
41	3.375	26.7	42.575	24.65	2.675	4	44	24	26	2	0.491017																		
42	1.625	39.1	0	33.95	25.325	2	48	1	31	18	0.473748																		
43	3.325	44.15	0.275	50.925	1.35	4	49	1	45	1	0.481404																		
45	4.725	90.8	2.825	0	1.625	11	84	1	3	1	0.461434																		
46	5.175	69.375	2.5	15.475	7.475	8	58	2	25	7	0.466374333																		
47	28.8	62.35	7.975	0	0.9	72	25	1	1	1	0.495370667																		
48	8.7	85.225	4.875	0.05	1.125	23	69	2	5	1	0.488673																		
49	4.325	89.425	4.9	0.1	1.225	25	67	2	4	2	0.487669																		
50	5.95	71.925	1.9	17.675	2.5	19	53	1	25	2	0.484358																		
51	10.225	80.25	2.725	5.425	1.325	28	60	2	9	1	0.483043333																		
52	8.4	73.775	4.35	11.25	2.225	14	62	3	19	2	0.478054333																		
53	8.55	73.075	4.675	11.525	2.15	13	62	3	21	1	0.472728																		
54	5.35	71.875	4.175	14.425	4.175	12	59	2	24	3	0.478062333																		
55	41.4	31.9	23.9	0	2.8	49	28	20	1	2	0.472343333																		
56	19.4	50.725	3.225	25	1.7	47	28	2	22	1	0.478324333																		
57	18.325	69.35	6.05	0	6.275	50	42	2	4	2	0.462301333																		
58	2.1	63.225	27	0	7.675	3	60	28	2	7	0.469992																		
59	7.75	44.925	45.325	0	2.025	9	46	42	1	2	0.487628333																		
60	0.775	82.075	0.25	15.475	1.4	1	72	1	25	1	0.460012333																		
61	4.25	70.15	9.825	14.5	1.275	5	61	9	24	1	0.477970333																		
62	1.5	72.95	2.9	0.025	22.675	2	75	2	3	18	0.492616																		
63	1.9	87	9.3	0	1.85	3	83	8	4	2	0.471624																		
64	2.325	86.775	1.425	0	9.5	6	82	1	1	10	0.493616333																		
65	21.25	57.325	6.35	6.4	8.65	52	32	3	7	6	0.475317																		
66	19.625	62.225	9.075	0.175	8.875	42	42	8	3	5	0.466642667																		
67	10.125	78.45	2.075	7.25	2.175	41	45	2	10	2	0.467602333																		
70	20.4	1.175	28.475	36.525	13.425	23	2	24	40	11	0.583931																		
71	23.425	10.775	23.825	38.575	3.425	25	9	22	41	3	0.514642667																		
72	16.475	3.8	27.825	26.425	25.475	21	4	25	32	18	0.554267667																		
73	0.3	33.325	34.025	0.075	32.25	1	32	32	4	31	0.483617667																		
74	15.15	57.8	6.2	14.25	6.6	33	36	5	21	5	0.472296
